CONTAINER ID   NAME                               CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
2debe0aa75dd   homeiq-dashboard                   0.04%     17.87MiB / 256MiB     6.98%     881kB / 507kB     2.06MB / 16.4kB   21
d4254d6707fc   homeiq-admin                       0.27%     70.56MiB / 256MiB     27.56%    355kB / 266kB     5.79MB / 5.77MB   5
f1f80ed01e08   homeiq-websocket                   0.05%     57.74MiB / 512MiB     11.28%    17MB / 12.6MB     9.76MB / 479kB    25
74ee4203994c   ai-query-service                   0.16%     56.66MiB / 512MiB     11.07%    5.21kB / 1.1kB    242kB / 4.59MB    6
18edb48b0e22   homeiq-device-intelligence         0.19%     151.3MiB / 512MiB     29.56%    315kB / 19.7kB    2.05MB / 6.75MB   47
61773adb912b   homeiq-influxdb                    0.09%     164.6MiB / 512MiB     32.15%    11.5MB / 3.3MB    30.7MB / 7.32MB   26
57c5629d3437   homeiq-data-api                    0.33%     109.9MiB / 1GiB       10.74%    3.58MB / 114MB    8.13MB / 9.06MB   8
da71f4b2b738   homeiq-setup-service               0.25%     86.86MiB / 256MiB     33.93%    6.93MB / 1.31MB   3.01MB / 22.1MB   6
f3b95c5ed8a5   ai-code-executor                   0.17%     37.59MiB / 192MiB     19.58%    11.5kB / 1.23kB   3.51MB / 0B       5
9cfa087eeb45   ai-automation-ui                   0.00%     20.52MiB / 256MiB     8.02%     1.85MB / 2.46MB   5.18MB / 4.1kB    21
ca6b7af6871f   ai-automation-service              0.23%     537.7MiB / 2GiB       26.26%    116MB / 1.76MB    74.4MB / 1.73MB   79
5bbfd50f81cf   ai-pattern-service                 0.23%     135.8MiB / 15.47GiB   0.86%     11.1kB / 1.1kB    9.65MB / 0B       44
bb9fa652a4f4   homeiq-energy-correlator           0.00%     45.29MiB / 256MiB     17.69%    1.98MB / 698kB    3.84MB / 0B       2
0c2a3a142145   homeiq-smart-meter                 0.02%     52.25MiB / 192MiB     27.22%    3.92MB / 511kB    4.67MB / 0B       42
12fedb3d6b74   homeiq-ai-core-service             0.26%     38.61MiB / 512MiB     7.54%     1.73MB / 1.51MB   340kB / 0B        5
03ddea321da2   ai-training-service                0.19%     56.01MiB / 512MiB     10.94%    11.3kB / 1.09kB   6.84MB / 0B       6
badcccd86df6   homeiq-device-health-monitor       0.33%     35.33MiB / 256MiB     13.80%    11.9kB / 1.73kB   3.3MB / 0B        5
c38fbdecf6fa   homeiq-ner-service                 0.21%     223.8MiB / 1GiB       21.86%    386kB / 360kB     21.7MB / 0B       24
0eb09ddd1f5d   homeiq-log-aggregator              0.04%     49.25MiB / 128MiB     38.47%    15.5kB / 5.96kB   8.52MB / 0B       1
f013f1c6a852   homeiq-ml-service                  0.27%     117.4MiB / 512MiB     22.93%    377kB / 401kB     10.2MB / 0B       43
d850f93aceae   homeiq-openai-service              0.25%     40.5MiB / 256MiB      15.82%    423kB / 400kB     2.87MB / 0B       1
3b19bfcae0bc   homeiq-device-setup-assistant      0.18%     33.6MiB / 256MiB      13.13%    11.5kB / 1.24kB   1.47MB / 0B       5
42be3518d3e4   homeiq-openvino-service            0.19%     314.9MiB / 1.5GiB     20.50%    101MB / 2.89MB    158MB / 93.1MB    118
ddd7f706a27b   automation-miner                   0.22%     63.78MiB / 512MiB     12.46%    11.2kB / 1.53kB   4.24MB / 0B       6
71bda14013ef   homeiq-device-database-client      0.21%     33.96MiB / 256MiB     13.27%    11.6kB / 1.24kB   1.84MB / 0B       5
8837838c8eee   homeiq-device-context-classifier   0.20%     34.22MiB / 256MiB     13.37%    12kB / 1.74kB     2.12MB / 0B       5
1d0003a24104   homeiq-device-recommender          0.24%     33.91MiB / 256MiB     13.24%    11.6kB / 1.23kB   1.81MB / 0B       5
